gene_id	X4B	X5B	X6B	X7B	X8B	X13B	X10B	X11B	X15B	X16B	X17B
ENSDARG00000000001	432	239	248	330	443	189	373	240	226	477	435
ENSDARG00000000002	2057	1957	1425	1090	772	985	776	134	108	6101	1520
ENSDARG00000000018	799	1140	1350	1054	915	1327	1004	1205	968	879	776
ENSDARG00000000019	5388	2253	3064	6972	5545	2716	4011	2774	3335	2099	3349
ENSDARG00000000068	1360	1170	520	680	1295	782	933	454	654	1085	1065
ENSDARG00000000069	2803	3388	4755	4217	3228	2762	4289	3107	5249	3843	6168
ENSDARG00000000086	2700	2147	1417	1557	2203	796	1816	1761	1280	860	1482
ENSDARG00000000103	10519	10927	7876	10637	11216	11551	7707	6463	11661	10180	11614
ENSDARG00000000142	203	113	87	75	140	44	136	133	77	25	60
ENSDARG00000000151	243	331	125	161	232	270	444	471	468	581	443
ENSDARG00000000161	136	101	245	147	118	64	58	44	115	305	383
ENSDARG00000000175	2	0	1	3	5	30	7	14	8	6	1
ENSDARG00000000183	117	153	135	144	137	116	81	260	491	64	175
ENSDARG00000000189	9468	4945	4622	9317	12004	6418	7632	4255	3095	5269	4051
ENSDARG00000000212	4292	2831	195	240	1263	1670	5438	51995	7	238	2
ENSDARG00000000229	314	734	684	297	381	774	265	642	904	551	527
ENSDARG00000000241	7352	4542	1548	1532	7415	1005	2168	627	1411	1178	3085
ENSDARG00000000324	855	436	418	663	751	385	709	416	686	530	858
ENSDARG00000000369	2	2	3	9	12	123	2	46	0	4	0
ENSDARG00000000370	941	570	388	727	573	388	662	397	593	309	624
ENSDARG00000000380	2	2	11	5	9	14	6	6	12	4	4
ENSDARG00000000394	2381	2414	2689	2579	2280	2418	2324	2440	3125	3177	3389
ENSDARG00000000423	422	440	439	501	327	538	439	498	624	651	608
ENSDARG00000000442	1704	2160	2847	1985	1459	1783	1655	961	1835	2135	2825
ENSDARG00000000476	232	285	391	320	189	207	203	139	261	339	454
ENSDARG00000000489	2600	2320	2219	3094	2745	3500	3047	2701	3904	3662	3505
ENSDARG00000000503	2	4	2	3	3	45	7	3	5	4	1
ENSDARG00000000516	6	12	6	2	5	1	0	5	8	3	9
ENSDARG00000000529	484	347	551	581	502	464	625	402	527	845	780
ENSDARG00000000540	1090	1373	1147	1013	1228	1214	1077	1108	1187	1744	1431
ENSDARG00000000542	909	1066	1005	934	667	792	781	642	893	1270	1354
ENSDARG00000000551	54	931	555	110	37	310	101	171	738	62	262
ENSDARG00000000563	203	8	703	2091	3894	35349	3155	11594	513	1100	20
ENSDARG00000000567	440	382	494	543	546	452	407	523	442	407	390
ENSDARG00000000568	983	1035	1095	1122	1221	1159	1007	1215	1555	1242	1342
ENSDARG00000000588	169	187	155	213	166	136	261	354	142	247	168
ENSDARG00000000606	134	49	33	21	58	149	47	36	105	31	41
ENSDARG00000000631	1769	1584	1554	1776	1751	1219	1594	1274	3227	3654	5091
ENSDARG00000000651	122	130	121	149	115	199	88	67	86	235	131
ENSDARG00000000656	212	387	216	103	356	162	310	635	159	205	134
ENSDARG00000000666	3081	2421	2526	2488	2864	2904	2332	1722	3094	4041	4024
ENSDARG00000000690	4921	5004	6368	6756	6689	4833	5258	2651	5799	4418	7163
ENSDARG00000000729	645	858	1201	623	631	789	456	530	1053	1047	1244
ENSDARG00000000730	65	50	62	47	69	58	97	202	22	104	26
