NAME	Description	X4B	X5B	X6B	X7B	X8B	X13B	X10B	X11B	X15B	X16B	X17B
ENSG00000138459	NA	432	239	248	330	443	189	373	240	226	477	435
ENSG00000106459	NA	799	1140	1350	1054	915	1327	1004	1205	968	879	776
ENSG00000186591	NA	5388	2253	3064	6972	5545	2716	4011	2774	3335	2099	3349
ENSG00000109062	NA	1360	1170	520	680	1295	782	933	454	654	1085	1065
ENSG00000112977	NA	2803	3388	4755	4217	3228	2762	4289	3107	5249	3843	6168
ENSG00000205726	NA	2700	2147	1417	1557	2203	796	1816	1761	1280	860	1482
ENSG00000133026	NA	10519	10927	7876	10637	11216	11551	7707	6463	11661	10180	11614
ENSG00000151881	NA	203	113	87	75	140	44	136	133	77	25	60
ENSG00000126351	NA	243	331	125	161	232	270	444	471	468	581	443
ENSG00000198399	NA	136	101	245	147	118	64	58	44	115	305	383
ENSG00000173917	NA	2	0	1	3	5	30	7	14	8	6	1
ENSG00000088179	NA	117	153	135	144	137	116	81	260	491	64	175
ENSG00000143434	NA	9468	4945	4622	9317	12004	6418	7632	4255	3095	5269	4051
ENSG00000164663	NA	314	734	684	297	381	774	265	642	904	551	527
ENSG00000138449	NA	7352	4542	1548	1532	7415	1005	2168	627	1411	1178	3085
ENSG00000226372	NA	855	436	418	663	751	385	709	416	686	530	858
ENSG00000189186	NA	855	436	418	663	751	385	709	416	686	530	858
ENSG00000132716	NA	855	436	418	663	751	385	709	416	686	530	858
ENSG00000115592	NA	2	2	3	9	12	123	2	46	0	4	0
ENSG00000038382	NA	941	570	388	727	573	388	662	397	593	309	624
ENSG00000015479	NA	2381	2414	2689	2579	2280	2418	2324	2440	3125	3177	3389
ENSG00000165915	NA	1704	2160	2847	1985	1459	1783	1655	961	1835	2135	2825
ENSG00000064933	NA	232	285	391	320	189	207	203	139	261	339	454
ENSG00000125351	NA	2600	2320	2219	3094	2745	3500	3047	2701	3904	3662	3505
ENSG00000099365	NA	2	4	2	3	3	45	7	3	5	4	1
